EE120_SBA1M300001E_EBOM_V01,,,,,,,,
,,,,,,,,
PCBA:  ,SBA1M300001E,ICS:,01,eBOM Ver:,1,,,
Item,Part Number,Part Name,MPN,SUPPLIER,Description,QTY,Ref Designator,Sort
57,AAA0103FA0CX,AAA0103FA0C1,RC-01W103FT,FENGHUA,"电阻,Resistor,10K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W103FT,FENGHUA",1,R3401,Resistor
58,AAA0203JA0CX,AAA0203JA0C1,RC-01W203JT,FENGHUA,"电阻,Resistor,20K ohm,±5 %,1/20 W,0201,N/A,RC-01W203JT,FENGHUA",1,R3220,Resistor
59,AAA0683FA0CX,AAA0683FA0C1,RC-01W683FT,FENGHUA,"电阻,Resistor,68K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W683FT,FENGHUA",1,R1904,Resistor
60,AAA0104FA0CX,AAA0104FA0C1,RC-01W104FT,FENGHUA,"电阻,Resistor,100K ohm,±1 %,1/20 W,0201,N/A,RC-01W104FT,FENGHUA",3,"R3113,R3201,R4303",Resistor
61,AAA0104JA0CX,AAA0104JA0C1,RC-01W104JT,FENGHUA,"电阻,Resistor,100K ohm,±5 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W104JT,FENGHUA",9,"R3118,R5101,R5102,R5103,R5104,R5105,R5106,R4701,R3107",Resistor
62,AAA0204JA0CX,AAA0204JA0C1,RC-01W204JT,FENGHUA,"电阻,Resistor,200K ohm,±5 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W204JT,FENGHUA",1,R3117,Resistor
63,AAA0204FA0CX,AAA0204FA0C1,RC-01W204FT,FENGHUA,"电阻,Resistor,200K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W204FT,FENGHUA",1,R3116,Resistor
64,AAA0304FA0CX,AAA0304FA0C1,RC-01W304FT,FENGHUA,"电阻,Resistor,300K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W304FT,FENGHUA",1,R4703,Resistor
65,AAA0105JA0CX,AAA0105JA0C1,RC-01W105JT,FENGHUA,"电阻,Resistor,1M ohm,±5 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W105JT,FENGHUA",1,R5903,Resistor
66,ACA01TBAA5CX,ACA01TBAA5C4,SDCL0603Q1N0BT02B02,SUNLORD,"电感,Inductor,1 nH,±0.1 nH,DCR=0.11 ohm,600 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q1N0BT02B02,SUNLORD",2,"L4222,C4601",Inductor
67,ACA12HBA01CX,ACA12HBA01C2,LQP03TG1N2B02D,MURATA,"电感,Inductor,1.2 nH,±0.1 nH,DCR=0.15 ohm,600 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG1N2B02D,MURATA",3,"L4502,L4503,R4205",Inductor
68,ACA15HBA02CX,ACA15HBA02C2,LQP03TG1N5B02D,MURATA,"电感,Inductor,1.5 nH,±0.1 nH,DCR=0.15 ohm,600 mA,0201,Film,N/A,LQP03TG1N5B02D,MURATA",5,"C4205,C4351,R4615,L4625,C4618",Inductor
69,ACA18HBAA6CX,ACA18HBAA6C4,SDCL0603Q1N8BT02B02,SUNLORD,"电感,Inductor,1.8 nH,±0.1 nH,DCR=0.18 ohm,500 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q1N8BT02B02,SUNLORD",1,L4424,Inductor
70,ACA02TBA05CX,ACA02TBA05C2,LQP03TG2N0B02D,MURATA,"电感,Inductor,2 nH,±0.1 nH,DCR=0.25 ohm,450 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG2N0B02D,MURATA",3,"L4252,C4201,R4602",Inductor
71,ACA22HBAA6CX,ACA22HBAA6C4,SDCL0603Q2N2BT02B02,SUNLORD,"电感,Inductor,2.2 nH,±0.1 nH,DCR=0.2 ohm,450 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q2N2BT02B02,SUNLORD",1,L4310,Inductor
72,ACA24HBA03CX,ACA24HBA03C2,LQP03TG2N4B02D,MURATA,"电感,Inductor,2.4 nH,±0.1 nH,DCR=0.25 ohm,450 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG2N4B02D,MURATA",2,"C4341,L4217",
